street,City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,County,Zip,Country,Source
3500 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.7117,-97.230695,0.2,rooftop,Tarrant County,76119,US,Tarrant County
800 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
4600 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.694794,-97.23618,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4800 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.682835,-97.395932,1,range_interpolation,Tarrant County,76109,US,TIGER/Line® dataset from the US Census Bureau
5500 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.677538,-97.241523,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4700 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.682323,-97.394865,1,range_interpolation,Tarrant County,76132,US,TIGER/Line® dataset from the US Census Bureau
3700 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.709653,-97.232115,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3800 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.708045,-97.232446,0.2,rooftop,Tarrant County,76119,US,Tarrant County
5600 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.67626,-97.241531,0.2,rooftop,Tarrant County,76119,US,Tarrant County
6000 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.664455,-97.292001,0.8,street_center,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
1300 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.840718,-97.335116,1,range_interpolation,Tarrant County,76106,US,TIGER/Line® dataset from the US Census Bureau
5900 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.664455,-97.292001,0.8,street_center,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
5700 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.675008,-97.241325,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4100 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.701875,-97.235732,0.2,rooftop,Tarrant County,76119,US,Tarrant County
3200 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.713742,-97.229536,0.2,rooftop,Tarrant County,76119,US,Tarrant County
6200 CARSWELL ACCESS RD,Fort Worth,TX,32.774415,-97.415632,1,range_interpolation,Tarrant County,76114,US,TIGER/Line® dataset from the US Census Bureau
1100 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2400 SOUTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.666397,-97.296234,1,range_interpolation,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
1000 NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,32.765823,-97.214181,0.2,rooftop,Tarrant County,76119,US,Tarrant County
4500 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.7104,-97.487544,0.2,rooftop,Tarrant County,76126,US,Tarrant County
100 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
1400 VANDERBILT E,Fort Worth,TX,32.758271,-97.165235,0.9,range_interpolation,Tarrant County,76120,US,TIGER/Line® dataset from the US Census Bureau
500 EAST LOOP INTERSTATE 820,Fort Worth,TX,32.6785,-97.330511,0.33,place,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
2500 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.668463,-97.355336,1,range_interpolation,Tarrant County,76115,US,TIGER/Line® dataset from the US Census Bureau
3600 HIGHWAY,Fort Worth,TX,32.743094,-97.426847,0.33,place,Tarrant County,76116,US,TIGER/Line® dataset from the US Census Bureau
3800 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.708045,-97.232446,0.2,rooftop,Tarrant County,76119,US,Tarrant County
5000 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3300 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
6100 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.668938,-97.242473,0.2,rooftop,Tarrant County,76119,US,Tarrant County
1400 VANDERBILT W,Fort Worth,TX,32.758271,-97.165235,1,range_interpolation,Tarrant County,76120,US,TIGER/Line® dataset from the US Census Bureau
8500 EAST FREEWAY,Fort Worth,TX,32.901961,-97.313057,0.9,rooftop,Tarrant County,76177,US,Tarrant County
3500 AVE E,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
5800 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.664455,-97.292001,0.8,street_center,Tarrant County,76140,US,TIGER/Line® dataset from the US Census Bureau
5100 AVE G,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3500 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3800 AIRPORT FW,Fort Worth,TX,32.772437,-97.291895,1,range_interpolation,Tarrant County,76111,US,TIGER/Line® dataset from the US Census Bureau
5300 SOUTHWEST LOOP INTERSTATE 820,Fort Worth,TX,32.681069,-97.24154,0.2,rooftop,Tarrant County,76119,US,Tarrant County
7400 MCCART AV,Fort Worth,TX,32.637603,-97.370311,0.9,rooftop,Tarrant County,76133,US,Tarrant County
4200 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
3700 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
1500 NORTH SOUTH FW,Fort Worth,TX,32.727572,-97.321112,0.6,rooftop,Tarrant County,76104,US,Tarrant County
4100 AVE N,Fort Worth,TX,32.771419,-97.291484,1,place,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
100 30 INTERSTATE 35W,Fort Worth,TX,32.759753,-97.213612,0.8,street_center,Tarrant County,76112,US,TIGER/Line® dataset from the US Census Bureau
