NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,CATEGORY,OFFENSEDESCRIPTION
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,NEGLIGENT HOMICIDE,FELONY DEATH BY DRUNK DRIVING -VEHICLE 
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,HOMICIDE - (OTHER) 
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,HOMICIDE-FATAL SHOOTING
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER - WILLFUL KILLING - FAMILY - GUN
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER - WILLFUL KILLING - FAMILY - OTHER WEAPON
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER - WILLFUL KILLING - GUN
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER - WILLFUL KILLING - NON-FAMILY - GUN
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER - WILLFUL KILLING - NON-FAMILY - OTHER WEAPON
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER - WILLFUL KILLING - OTHER WEAPON
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER - WILLFUL KILLING - POLICE OFFICER - GUN
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,AGGRAVATED ASSAULT,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,ARSON,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,BURGLARY,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,DAMAGE TO PROPERTY,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,DANGEROUS DRUGS,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,ROBBERY,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,SEXUAL ASSAULT,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)
09B,Crimes against person,Homicide Offenses,09B Negligent Manslaughter,NEGLIGENT HOMICIDE,FELONY DEATH WHILE UNDER CONTROLLED SUBSTANCE
09B,Crimes against person,Homicide Offenses,09B Negligent Manslaughter,AGGRAVATED ASSAULT,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV
09B,Crimes against person,Homicide Offenses,09B Negligent Manslaughter,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV
09B,Crimes against person,Homicide Offenses,09B Negligent Manslaughter,OUIL,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV
09B,Crimes against person,Homicide Offenses,09B Negligent Manslaughter,NEGLIGENT HOMICIDE,NEGLIGENT HOMICIDE (OTHER)
